Date,Close
3/1/2010,29.8557
3/2/2010,29.8357
3/3/2010,29.9043
3/4/2010,30.1014
3/5/2010,31.2786
3/8/2010,31.2971
3/9/2010,31.86
3/10/2010,32.12
3/11/2010,32.2143
3/12/2010,32.3714
3/15/2010,31.9771
3/16/2010,32.0643
3/17/2010,32.0171
3/18/2010,32.0928
3/19/2010,31.75
3/22/2010,32.1071
3/23/2010,32.6228
3/24/2010,32.7671
3/25/2010,32.3786
3/26/2010,32.9857
3/29/2010,33.1986
3/30/2010,33.6921
3/31/2010,33.5714
4/1/2010,33.71
4/5/2010,34.07
4/6/2010,34.22
4/7/2010,34.3714
4/8/2010,34.2786
4/9/2010,34.5414
4/12/2010,34.6128
4/13/2010,34.6328
4/14/2010,35.0986
4/15/2010,35.56
4/16/2010,35.3428
4/19/2010,35.2957
4/20/2010,34.9414
4/21/2010,37.0314
4/22/2010,38.0671
4/23/2010,38.69
4/26/2010,38.5
4/27/2010,37.4343
4/28/2010,37.3714
4/29/2010,38.3771
4/30/2010,37.2986
5/3/2010,38.05
5/4/2010,36.9543
5/5/2010,36.5693
5/6/2010,35.1786
5/7/2010,33.6943
5/10/2010,36.2843
5/11/2010,36.6457
5/12/2010,37.4414
5/13/2010,36.9086
5/14/2010,36.26
5/17/2010,36.3171
5/18/2010,36.0514
5/19/2010,35.4771
5/20/2010,33.9657
5/21/2010,34.6171
5/24/2010,35.2514
5/25/2010,35.0314
5/26/2010,34.8727
5/27/2010,36.1928
5/28/2010,36.6971
6/1/2010,37.2614
6/2/2010,37.7071
6/3/2010,37.5886
6/4/2010,36.5664
6/7/2010,35.8486
6/8/2010,35.6186
6/9/2010,34.7428
6/10/2010,35.7871
6/11/2010,36.2157
6/14/2010,36.3257
6/15/2010,37.0986
6/16/2010,38.1786
6/17/2010,38.8386
6/18/2010,39.1534
6/21/2010,38.5957
6/22/2010,39.1214
6/23/2010,38.71
6/24/2010,38.4286
6/25/2010,38.1
6/28/2010,38.3286
6/29/2010,36.5957
6/30/2010,35.9328
7/1/2010,35.4971
7/2/2010,35.2771
7/6/2010,35.5186
7/7/2010,36.9521
7/8/2010,36.87
7/9/2010,37.0886
7/12/2010,36.755
7/13/2010,35.9711
7/14/2010,36.1038
7/15/2010,35.9214
7/16/2010,35.7
7/19/2010,35.0828
7/20/2010,35.9843
7/21/2010,36.32
7/22/2010,37.0034
7/23/2010,37.1343
7/26/2010,37.04
7/27/2010,37.7257
7/28/2010,37.28
7/29/2010,36.8728
7/30/2010,36.75
8/2/2010,37.4071
8/3/2010,37.4186
8/4/2010,37.5686
8/5/2010,37.3857
8/6/2010,37.1558
8/9/2010,37.3928
8/10/2010,37.0586
